"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.725,0.60511,0.005,0.018072,-0.016159,6.2752e-25
0.675,0.65515,0.005,0.015141,-0.018108,-1.486e-24
0.625,0.70519,0.005,0.012313,-0.02002,-1.0105e-24
0.575,0.75523,0.005,0.0096269,-0.021865,9.1535e-40
0.525,0.80528,0.005,0.0071247,-0.023614,6.7886e-25
0.475,0.85532,0.005,0.0048467,-0.025239,7.9626e-25
0.425,0.90536,0.005,0.0028322,-0.026716,-6.148e-25
0.375,0.9554,0.005,0.0011179,-0.028024,-4.4895e-26
0.325,1.0054,0.005,-0.00026361,-0.029146,-1.2164e-24
0.275,1.0555,0.005,-0.0012824,-0.030067,-6.2038e-25
0.225,1.1055,0.005,-0.0019206,-0.030778,8.1131e-25
0.175,1.1556,0.005,-0.0021678,-0.031275,-1.3071e-24
0.125,1.2056,0.005,-0.002031,-0.031556,1.7688e-24
0.075,1.2557,0.005,-0.001403,-0.031594,1.8132e-24
0.025,1.3057,0.005,-0.0011774,-0.030736,-1.1685e-23
1.375,0.024,0.005,0.041528,-6.6852e-05,2.0627e-25
1.325,0.072,0.005,0.044095,-0.00023388,-5.6862e-25
1.275,0.12,0.005,0.043393,-0.0007923,-1.3337e-24
1.225,0.168,0.005,0.041993,-0.0015102,0
1.175,0.216,0.005,0.040224,-0.0024333,1.5421e-38
1.125,0.264,0.005,0.038166,-0.0035314,-1.2744e-38
1.075,0.312,0.005,0.035859,-0.0047949,0
1.025,0.36,0.005,0.033339,-0.0062115,7.587e-25
0.975,0.408,0.005,0.030649,-0.0077655,-9.375e-26
0.925,0.456,0.005,0.027832,-0.0094374,-6.9643e-25
0.875,0.50502,0.005,0.024891,-0.011221,9.0826e-25
0.825,0.55506,0.005,0.021866,-0.013088,-2.4083e-25
0.775,0.60511,0.005,0.018846,-0.014996,-9.0019e-25
0.725,0.65515,0.005,0.01587,-0.016914,3.3797e-25
0.675,0.70519,0.005,0.01298,-0.018809,4.9432e-25
0.625,0.75523,0.005,0.010214,-0.02065,8.7248e-25
0.575,0.80528,0.005,0.0076138,-0.022406,6.6005e-25
0.525,0.85532,0.005,0.0052193,-0.024047,1.8669e-24
0.475,0.90536,0.005,0.0030703,-0.025547,9.1004e-25
0.425,0.9554,0.005,0.0012047,-0.026881,7.3674e-25
0.375,1.0054,0.005,-0.00034306,-0.02803,-3.8248e-34
0.325,1.0555,0.005,-0.0015418,-0.028978,-8.6505e-25
0.275,1.1055,0.005,-0.0023696,-0.029713,7.0897e-25
0.225,1.1556,0.005,-0.0028123,-0.030231,-1.2304e-24
0.175,1.2056,0.005,-0.0028602,-0.030531,1.4128e-24
0.125,1.2557,0.005,-0.0025221,-0.030613,1.1036e-24
0.075,1.3057,0.005,-0.0016978,-0.030459,-4.793e-24
0.025,1.3557,0.005,-0.0013519,-0.029486,6.3095e-24
1.425,0.024,0.005,0.041507,8.5894e-06,1.6171e-25
1.375,0.072,0.005,0.044284,-7.8328e-05,-4.8522e-25
1.325,0.12,0.005,0.043712,-0.0005162,-5.0002e-25
1.275,0.168,0.005,0.042403,-0.0011329,5.2277e-25
1.225,0.216,0.005,0.040713,-0.0019457,-6.9495e-26
1.175,0.264,0.005,0.038722,-0.0029361,6.8351e-25
1.125,0.312,0.005,0.036474,-0.0040953,6.1647e-25
1.075,0.36,0.005,0.034005,-0.0054116,6.8946e-25
1.025,0.408,0.005,0.031353,-0.0068711,7.1939e-25
0.975,0.456,0.005,0.028563,-0.0084564,5.7641e-25
0.925,0.50502,0.005,0.025633,-0.010161,6.6011e-25
0.875,0.55506,0.005,0.022602,-0.011962,1.0665e-24
0.825,0.60511,0.005,0.019561,-0.013817,3.3653e-25
0.775,0.65515,0.005,0.016548,-0.015695,3.2573e-25
0.725,0.70519,0.005,0.013603,-0.017567,0
0.675,0.75523,0.005,0.010766,-0.019399,4.6008e-25
0.625,0.80528,0.005,0.0080754,-0.021159,-2.0812e-25
0.575,0.85532,0.005,0.0055724,-0.022816,-1.2004e-38
0.525,0.90536,0.005,0.0032969,-0.02434,-1.2681e-25
0.475,0.9554,0.005,0.0012874,-0.025704,-7.636e-25
0.425,1.0054,0.005,-0.00041998,-0.026885,7.2126e-25
